Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return_Flag,Order_Value,Return_Value,Age_Group,Return_Speed
ORD00001925,PROD00001925,USER00001925,"Wednesday, May 22, 2024",,Home,18.56,3,,Not Returned,,53,Male,City50,Credit Card,Next-Day,17.94,0,55.68,0,40-59,Within a Week
ORD00002009,PROD00002009,USER00002009,"Monday, March 13, 2023",,Home,302.05,3,,Not Returned,,38,Male,City80,Debit Card,Next-Day,12.53,0,906.15,0,25-39,Within a Week
ORD00002045,PROD00002045,USER00002045,"Friday, March 17, 2023",,Home,85.87,3,,Not Returned,,28,Male,City71,Credit Card,Next-Day,36.96,0,257.61,0,25-39,Within a Week
ORD00002306,PROD00002306,USER00002306,"Monday, December 25, 2023",,Home,68.53,3,,Not Returned,,53,Male,City91,PayPal,Next-Day,38.29,0,205.59,0,40-59,Within a Week
ORD00002532,PROD00002532,USER00002532,"Saturday, June 1, 2024",,Home,258.91,3,,Not Returned,,39,Female,City50,Gift Card,Next-Day,18.57,0,776.73,0,25-39,Within a Week
ORD00002578,PROD00002578,USER00002578,"Friday, March 31, 2023",,Home,120.99,3,,Not Returned,,66,Female,City37,PayPal,Next-Day,14.5,0,362.97,0,60+,Within a Week
ORD00002585,PROD00002585,USER00002585,"Monday, August 21, 2023",,Home,426.5,3,,Not Returned,,61,Female,City29,PayPal,Next-Day,24.94,0,1279.5,0,60+,Within a Week
ORD00002892,PROD00002892,USER00002892,"Friday, November 1, 2024",,Home,396.86,3,,Not Returned,,45,Male,City23,Gift Card,Next-Day,15.35,0,1190.58,0,40-59,Within a Week
ORD00002928,PROD00002928,USER00002928,"Saturday, July 20, 2024",,Home,332.72,3,,Not Returned,,28,Female,City55,Debit Card,Next-Day,4.9,0,998.16,0,25-39,Within a Week
ORD00002979,PROD00002979,USER00002979,"Thursday, June 20, 2024",,Home,28.14,3,,Not Returned,,67,Male,City93,Gift Card,Next-Day,35.29,0,84.42,0,60+,Within a Week
ORD00003010,PROD00003010,USER00003010,"Sunday, September 1, 2024",,Home,29.09,3,,Not Returned,,35,Male,City40,Gift Card,Next-Day,48.75,0,87.27,0,25-39,Within a Week
ORD00003239,PROD00003239,USER00003239,"Sunday, July 14, 2024",,Home,368.05,3,,Not Returned,,25,Male,City35,PayPal,Next-Day,48.62,0,1104.15,0,25-39,Within a Week
ORD00003332,PROD00003332,USER00003332,"Wednesday, June 12, 2024",,Home,125.35,3,,Not Returned,,57,Female,City73,PayPal,Next-Day,44.75,0,376.05,0,40-59,Within a Week
ORD00003557,PROD00003557,USER00003557,"Sunday, July 30, 2023",,Home,356.83,3,,Not Returned,,47,Male,City4,PayPal,Next-Day,4.81,0,1070.49,0,40-59,Within a Week
ORD00003637,PROD00003637,USER00003637,"Monday, October 21, 2024",,Home,112.2,3,,Not Returned,,39,Female,City30,PayPal,Next-Day,31.5,0,336.6,0,25-39,Within a Week
ORD00003748,PROD00003748,USER00003748,"Wednesday, February 1, 2023",,Home,152.9,3,,Not Returned,,60,Female,City74,PayPal,Next-Day,39.26,0,458.7,0,60+,Within a Week
ORD00003931,PROD00003931,USER00003931,"Tuesday, June 20, 2023",,Home,77.52,3,,Not Returned,,49,Male,City25,Debit Card,Next-Day,13.96,0,232.56,0,40-59,Within a Week
ORD00004248,PROD00004248,USER00004248,"Thursday, December 7, 2023",,Home,484.09,3,,Not Returned,,36,Female,City23,Gift Card,Next-Day,46.37,0,1452.27,0,25-39,Within a Week
ORD00004430,PROD00004430,USER00004430,"Thursday, December 21, 2023",,Home,380.15,3,,Not Returned,,51,Female,City8,Gift Card,Next-Day,0.71,0,1140.45,0,40-59,Within a Week
ORD00004641,PROD00004641,USER00004641,"Monday, October 30, 2023",,Home,462.13,3,,Not Returned,,66,Male,City61,Gift Card,Next-Day,34.55,0,1386.39,0,60+,Within a Week
ORD00004844,PROD00004844,USER00004844,"Wednesday, April 5, 2023",,Home,80.44,3,,Not Returned,,69,Female,City64,Credit Card,Next-Day,29.28,0,241.32,0,60+,Within a Week
ORD00005061,PROD00005061,USER00005061,"Saturday, November 25, 2023",,Home,128.92,3,,Not Returned,,34,Male,City72,Debit Card,Next-Day,24.27,0,386.76,0,25-39,Within a Week
ORD00005161,PROD00005161,USER00005161,"Monday, January 1, 2024",,Home,9.72,3,,Not Returned,,53,Female,City29,Gift Card,Next-Day,19.67,0,29.16,0,40-59,Within a Week
ORD00005270,PROD00005270,USER00005270,"Tuesday, June 25, 2024",,Home,486.82,3,,Not Returned,,27,Male,City89,PayPal,Next-Day,49.31,0,1460.46,0,25-39,Within a Week
ORD00005887,PROD00005887,USER00005887,"Thursday, June 6, 2024",,Home,437.6,3,,Not Returned,,27,Female,City89,PayPal,Next-Day,21.29,0,1312.8,0,25-39,Within a Week
ORD00005965,PROD00005965,USER00005965,"Friday, July 12, 2024",,Home,370.83,3,,Not Returned,,19,Male,City58,Credit Card,Next-Day,19.7,0,1112.49,0,Under 25,Within a Week
ORD00005968,PROD00005968,USER00005968,"Tuesday, June 11, 2024",,Home,110.34,3,,Not Returned,,31,Male,City81,Credit Card,Next-Day,9.79,0,331.02,0,25-39,Within a Week
ORD00006067,PROD00006067,USER00006067,"Friday, January 12, 2024",,Home,252.51,3,,Not Returned,,69,Male,City50,PayPal,Next-Day,46.35,0,757.53,0,60+,Within a Week
ORD00006270,PROD00006270,USER00006270,"Thursday, August 22, 2024",,Home,217.52,3,,Not Returned,,27,Male,City49,Credit Card,Next-Day,0.93,0,652.56,0,25-39,Within a Week
ORD00006482,PROD00006482,USER00006482,"Tuesday, November 28, 2023",,Home,498.24,3,,Not Returned,,35,Female,City52,Gift Card,Next-Day,8.11,0,1494.72,0,25-39,Within a Week
ORD00006537,PROD00006537,USER00006537,"Thursday, August 1, 2024",,Home,423.25,3,,Not Returned,,68,Female,City36,Credit Card,Next-Day,9.17,0,1269.75,0,60+,Within a Week
ORD00006590,PROD00006590,USER00006590,"Thursday, June 20, 2024",,Home,392.16,3,,Not Returned,,54,Female,City58,Debit Card,Next-Day,12.83,0,1176.48,0,40-59,Within a Week
ORD00006716,PROD00006716,USER00006716,"Thursday, December 7, 2023",,Home,100.29,3,,Not Returned,,51,Male,City49,PayPal,Next-Day,39.73,0,300.87,0,40-59,Within a Week
ORD00006966,PROD00006966,USER00006966,"Sunday, December 29, 2024",,Home,287.74,3,,Not Returned,,55,Male,City55,PayPal,Next-Day,45.99,0,863.22,0,40-59,Within a Week
ORD00007047,PROD00007047,USER00007047,"Tuesday, January 31, 2023",,Home,441.11,3,,Not Returned,,47,Female,City12,Credit Card,Next-Day,29.39,0,1323.33,0,40-59,Within a Week
ORD00007115,PROD00007115,USER00007115,"Monday, December 9, 2024",,Home,47.81,3,,Not Returned,,42,Female,City79,Credit Card,Next-Day,1.38,0,143.43,0,40-59,Within a Week
ORD00007189,PROD00007189,USER00007189,"Saturday, May 13, 2023",,Home,478.9,3,,Not Returned,,50,Female,City46,Debit Card,Next-Day,31.9,0,1436.7,0,40-59,Within a Week
ORD00007203,PROD00007203,USER00007203,"Friday, April 19, 2024",,Home,197.18,3,,Not Returned,,60,Male,City98,Debit Card,Next-Day,20.29,0,591.54,0,60+,Within a Week
ORD00007409,PROD00007409,USER00007409,"Monday, May 22, 2023",,Home,488.83,3,,Not Returned,,60,Male,City56,PayPal,Next-Day,1.66,0,1466.49,0,60+,Within a Week
ORD00007444,PROD00007444,USER00007444,"Thursday, August 1, 2024",,Home,252.58,3,,Not Returned,,56,Male,City89,Debit Card,Next-Day,3.41,0,757.74,0,40-59,Within a Week
ORD00007477,PROD00007477,USER00007477,"Saturday, August 17, 2024",,Home,121.62,3,,Not Returned,,64,Female,City100,Debit Card,Next-Day,17.62,0,364.86,0,60+,Within a Week
ORD00007679,PROD00007679,USER00007679,"Sunday, January 1, 2023",,Home,252.83,3,,Not Returned,,40,Female,City40,Gift Card,Next-Day,43.59,0,758.49,0,40-59,Within a Week
ORD00007718,PROD00007718,USER00007718,"Monday, January 16, 2023",,Home,445.01,3,,Not Returned,,50,Female,City54,Gift Card,Next-Day,4.95,0,1335.03,0,40-59,Within a Week
ORD00007857,PROD00007857,USER00007857,"Monday, June 17, 2024",,Home,273.86,3,,Not Returned,,67,Male,City26,PayPal,Next-Day,5.8,0,821.58,0,60+,Within a Week
ORD00007961,PROD00007961,USER00007961,"Thursday, August 10, 2023",,Home,364.49,3,,Not Returned,,25,Male,City96,Credit Card,Next-Day,26.72,0,1093.47,0,25-39,Within a Week
ORD00008092,PROD00008092,USER00008092,"Thursday, October 24, 2024",,Home,118.87,3,,Not Returned,,20,Male,City27,Debit Card,Next-Day,32.54,0,356.61,0,Under 25,Within a Week
ORD00008143,PROD00008143,USER00008143,"Sunday, September 29, 2024",,Home,145.9,3,,Not Returned,,40,Male,City3,Gift Card,Next-Day,3.41,0,437.7,0,40-59,Within a Week
ORD00008145,PROD00008145,USER00008145,"Sunday, January 7, 2024",,Home,65.22,3,,Not Returned,,53,Female,City12,Debit Card,Next-Day,14.02,0,195.66,0,40-59,Within a Week
ORD00008194,PROD00008194,USER00008194,"Saturday, November 2, 2024",,Home,427.84,3,,Not Returned,,45,Female,City23,PayPal,Next-Day,6.11,0,1283.52,0,40-59,Within a Week
ORD00008261,PROD00008261,USER00008261,"Monday, December 30, 2024",,Home,169.06,3,,Not Returned,,53,Female,City52,Credit Card,Next-Day,28.39,0,507.18,0,40-59,Within a Week
ORD00008503,PROD00008503,USER00008503,"Tuesday, April 18, 2023",,Home,266.2,3,,Not Returned,,58,Male,City61,Credit Card,Next-Day,37.24,0,798.6,0,40-59,Within a Week
ORD00008579,PROD00008579,USER00008579,"Friday, September 6, 2024",,Home,484.95,3,,Not Returned,,67,Male,City20,Gift Card,Next-Day,35.38,0,1454.85,0,60+,Within a Week
ORD00008691,PROD00008691,USER00008691,"Monday, March 4, 2024",,Home,174.07,3,,Not Returned,,27,Female,City17,PayPal,Next-Day,7.33,0,522.21,0,25-39,Within a Week
ORD00008765,PROD00008765,USER00008765,"Wednesday, February 14, 2024",,Home,193.73,3,,Not Returned,,66,Female,City93,Debit Card,Next-Day,26.29,0,581.19,0,60+,Within a Week
ORD00008785,PROD00008785,USER00008785,"Thursday, April 27, 2023",,Home,145.84,3,,Not Returned,,28,Female,City19,Credit Card,Next-Day,40.07,0,437.52,0,25-39,Within a Week
ORD00009396,PROD00009396,USER00009396,"Saturday, April 20, 2024",,Home,447.96,3,,Not Returned,,42,Female,City95,Gift Card,Next-Day,36.51,0,1343.88,0,40-59,Within a Week
ORD00009400,PROD00009400,USER00009400,"Saturday, December 23, 2023",,Home,329.79,3,,Not Returned,,60,Male,City73,Debit Card,Next-Day,47.24,0,989.37,0,60+,Within a Week
ORD00009404,PROD00009404,USER00009404,"Monday, July 29, 2024",,Home,187.99,3,,Not Returned,,45,Male,City22,Credit Card,Next-Day,50,0,563.97,0,40-59,Within a Week
ORD00009435,PROD00009435,USER00009435,"Wednesday, January 4, 2023",,Home,328.22,3,,Not Returned,,23,Female,City75,Credit Card,Next-Day,49.99,0,984.66,0,Under 25,Within a Week
ORD00009484,PROD00009484,USER00009484,"Thursday, July 20, 2023",,Home,432.81,3,,Not Returned,,30,Female,City66,Gift Card,Next-Day,38.73,0,1298.43,0,25-39,Within a Week
ORD00009753,PROD00009753,USER00009753,"Saturday, November 9, 2024",,Home,287.72,3,,Not Returned,,62,Male,City84,Gift Card,Next-Day,10.06,0,863.16,0,60+,Within a Week
ORD00000058,PROD00000058,USER00000058,"Monday, May 6, 2024",,Home,129.94,5,,Not Returned,,65,Female,City37,PayPal,Next-Day,12.83,0,649.7,0,60+,Within a Week
ORD00000198,PROD00000198,USER00000198,"Thursday, February 8, 2024",,Home,13.04,5,,Not Returned,,44,Female,City32,Credit Card,Next-Day,32.34,0,65.2,0,40-59,Within a Week
ORD00000331,PROD00000331,USER00000331,"Wednesday, December 20, 2023",,Home,342.22,5,,Not Returned,,29,Female,City100,Gift Card,Next-Day,13.27,0,1711.1,0,25-39,Within a Week
ORD00000449,PROD00000449,USER00000449,"Friday, June 28, 2024",,Home,450.18,5,,Not Returned,,63,Male,City40,Gift Card,Next-Day,7.71,0,2250.9,0,60+,Within a Week
ORD00000489,PROD00000489,USER00000489,"Sunday, January 1, 2023",,Home,346.1,5,,Not Returned,,68,Male,City70,PayPal,Next-Day,5.05,0,1730.5,0,60+,Within a Week
ORD00000713,PROD00000713,USER00000713,"Friday, February 3, 2023",,Home,436.46,5,,Not Returned,,37,Female,City89,Gift Card,Next-Day,13.62,0,2182.3,0,25-39,Within a Week
ORD00001068,PROD00001068,USER00001068,"Monday, February 27, 2023",,Home,150.91,5,,Not Returned,,20,Female,City84,Debit Card,Next-Day,33.8,0,754.55,0,Under 25,Within a Week
ORD00001740,PROD00001740,USER00001740,"Wednesday, September 27, 2023",,Home,385.41,5,,Not Returned,,40,Female,City77,Gift Card,Next-Day,33.37,0,1927.05,0,40-59,Within a Week
ORD00002158,PROD00002158,USER00002158,"Tuesday, February 21, 2023",,Home,254.77,5,,Not Returned,,67,Male,City4,PayPal,Next-Day,3.63,0,1273.85,0,60+,Within a Week
ORD00002202,PROD00002202,USER00002202,"Sunday, January 28, 2024",,Home,279.33,5,,Not Returned,,38,Male,City98,Debit Card,Next-Day,4.96,0,1396.65,0,25-39,Within a Week
ORD00002211,PROD00002211,USER00002211,"Monday, May 6, 2024",,Home,67.21,5,,Not Returned,,37,Female,City4,Debit Card,Next-Day,30.93,0,336.05,0,25-39,Within a Week
ORD00002316,PROD00002316,USER00002316,"Friday, March 31, 2023",,Home,190.21,5,,Not Returned,,21,Female,City73,Gift Card,Next-Day,17.23,0,951.05,0,Under 25,Within a Week
ORD00003003,PROD00003003,USER00003003,"Friday, March 17, 2023",,Home,459.66,5,,Not Returned,,46,Female,City83,Credit Card,Next-Day,48.74,0,2298.3,0,40-59,Within a Week
ORD00003127,PROD00003127,USER00003127,"Tuesday, December 3, 2024",,Home,448.39,5,,Not Returned,,29,Male,City29,Gift Card,Next-Day,46.16,0,2241.95,0,25-39,Within a Week
ORD00003269,PROD00003269,USER00003269,"Saturday, November 23, 2024",,Home,323.48,5,,Not Returned,,69,Male,City42,Credit Card,Next-Day,22.84,0,1617.4,0,60+,Within a Week
ORD00003358,PROD00003358,USER00003358,"Thursday, September 7, 2023",,Home,308.9,5,,Not Returned,,55,Male,City76,PayPal,Next-Day,0.96,0,1544.5,0,40-59,Within a Week
ORD00003511,PROD00003511,USER00003511,"Monday, March 18, 2024",,Home,441.53,5,,Not Returned,,23,Male,City33,PayPal,Next-Day,9.6,0,2207.65,0,Under 25,Within a Week
ORD00003517,PROD00003517,USER00003517,"Thursday, April 20, 2023",,Home,447.75,5,,Not Returned,,35,Female,City63,PayPal,Next-Day,30.65,0,2238.75,0,25-39,Within a Week
ORD00003523,PROD00003523,USER00003523,"Sunday, November 3, 2024",,Home,91.36,5,,Not Returned,,20,Female,City51,PayPal,Next-Day,8.07,0,456.8,0,Under 25,Within a Week
ORD00003687,PROD00003687,USER00003687,"Sunday, December 8, 2024",,Home,448.14,5,,Not Returned,,60,Male,City37,Debit Card,Next-Day,38.01,0,2240.7,0,60+,Within a Week
ORD00003740,PROD00003740,USER00003740,"Thursday, March 21, 2024",,Home,79.95,5,,Not Returned,,41,Female,City73,Credit Card,Next-Day,48.94,0,399.75,0,40-59,Within a Week
ORD00003853,PROD00003853,USER00003853,"Saturday, August 3, 2024",,Home,467.98,5,,Not Returned,,19,Female,City71,PayPal,Next-Day,44.97,0,2339.9,0,Under 25,Within a Week
ORD00003886,PROD00003886,USER00003886,"Sunday, December 15, 2024",,Home,429.18,5,,Not Returned,,57,Female,City80,Debit Card,Next-Day,34.85,0,2145.9,0,40-59,Within a Week
ORD00003923,PROD00003923,USER00003923,"Wednesday, February 15, 2023",,Home,464.13,5,,Not Returned,,24,Female,City39,PayPal,Next-Day,46.82,0,2320.65,0,Under 25,Within a Week
ORD00004067,PROD00004067,USER00004067,"Friday, September 20, 2024",,Home,32.38,5,,Not Returned,,52,Male,City18,PayPal,Next-Day,22.7,0,161.9,0,40-59,Within a Week
ORD00004371,PROD00004371,USER00004371,"Tuesday, June 11, 2024",,Home,305.85,5,,Not Returned,,48,Male,City14,PayPal,Next-Day,10.27,0,1529.25,0,40-59,Within a Week
ORD00004398,PROD00004398,USER00004398,"Wednesday, March 29, 2023",,Home,81.1,5,,Not Returned,,29,Female,City18,Gift Card,Next-Day,2.69,0,405.5,0,25-39,Within a Week
ORD00004577,PROD00004577,USER00004577,"Thursday, November 16, 2023",,Home,314.49,5,,Not Returned,,45,Female,City44,Gift Card,Next-Day,8.86,0,1572.45,0,40-59,Within a Week
ORD00004596,PROD00004596,USER00004596,"Tuesday, February 6, 2024",,Home,401.02,5,,Not Returned,,28,Female,City8,Gift Card,Next-Day,19.01,0,2005.1,0,25-39,Within a Week
ORD00004701,PROD00004701,USER00004701,"Saturday, September 14, 2024",,Home,460.05,5,,Not Returned,,29,Male,City34,Gift Card,Next-Day,15.16,0,2300.25,0,25-39,Within a Week
ORD00004707,PROD00004707,USER00004707,"Monday, October 2, 2023",,Home,178.42,5,,Not Returned,,69,Female,City77,PayPal,Next-Day,29.01,0,892.1,0,60+,Within a Week
ORD00004710,PROD00004710,USER00004710,"Tuesday, November 5, 2024",,Home,150.03,5,,Not Returned,,36,Male,City3,Gift Card,Next-Day,18.1,0,750.15,0,25-39,Within a Week
ORD00004717,PROD00004717,USER00004717,"Monday, September 23, 2024",,Home,449.21,5,,Not Returned,,62,Female,City95,Gift Card,Next-Day,46.41,0,2246.05,0,60+,Within a Week
ORD00004869,PROD00004869,USER00004869,"Monday, May 20, 2024",,Home,497.28,5,,Not Returned,,46,Female,City26,Debit Card,Next-Day,47.9,0,2486.4,0,40-59,Within a Week
ORD00005018,PROD00005018,USER00005018,"Sunday, July 28, 2024",,Home,255.58,5,,Not Returned,,63,Male,City79,PayPal,Next-Day,35.24,0,1277.9,0,60+,Within a Week
ORD00005208,PROD00005208,USER00005208,"Tuesday, November 21, 2023",,Home,194.32,5,,Not Returned,,58,Female,City66,Credit Card,Next-Day,38.16,0,971.6,0,40-59,Within a Week
ORD00005279,PROD00005279,USER00005279,"Sunday, April 23, 2023",,Home,235.37,5,,Not Returned,,67,Male,City98,Credit Card,Next-Day,2.02,0,1176.85,0,60+,Within a Week
ORD00005350,PROD00005350,USER00005350,"Wednesday, April 24, 2024",,Home,401.61,5,,Not Returned,,70,Female,City5,PayPal,Next-Day,1.33,0,2008.05,0,60+,Within a Week
ORD00005392,PROD00005392,USER00005392,"Wednesday, February 22, 2023",,Home,309.03,5,,Not Returned,,41,Female,City43,Gift Card,Next-Day,35.83,0,1545.15,0,40-59,Within a Week
ORD00005435,PROD00005435,USER00005435,"Monday, July 17, 2023",,Home,106.87,5,,Not Returned,,49,Female,City3,Gift Card,Next-Day,20.69,0,534.35,0,40-59,Within a Week
ORD00005509,PROD00005509,USER00005509,"Sunday, November 19, 2023",,Home,201.27,5,,Not Returned,,59,Male,City23,PayPal,Next-Day,37.35,0,1006.35,0,40-59,Within a Week
ORD00005668,PROD00005668,USER00005668,"Sunday, June 16, 2024",,Home,275.92,5,,Not Returned,,67,Male,City26,Credit Card,Next-Day,8.88,0,1379.6,0,60+,Within a Week
ORD00005712,PROD00005712,USER00005712,"Thursday, December 5, 2024",,Home,155.42,5,,Not Returned,,59,Female,City4,PayPal,Next-Day,27.17,0,777.1,0,40-59,Within a Week
ORD00005809,PROD00005809,USER00005809,"Monday, August 7, 2023",,Home,76.3,5,,Not Returned,,48,Female,City16,PayPal,Next-Day,17.53,0,381.5,0,40-59,Within a Week
ORD00006102,PROD00006102,USER00006102,"Friday, May 10, 2024",,Home,67.66,5,,Not Returned,,24,Male,City76,Gift Card,Next-Day,39.05,0,338.3,0,Under 25,Within a Week
ORD00006188,PROD00006188,USER00006188,"Tuesday, January 17, 2023",,Home,451.14,5,,Not Returned,,22,Female,City90,PayPal,Next-Day,12.33,0,2255.7,0,Under 25,Within a Week
ORD00006200,PROD00006200,USER00006200,"Monday, August 14, 2023",,Home,418.62,5,,Not Returned,,30,Female,City37,Debit Card,Next-Day,5.04,0,2093.1,0,25-39,Within a Week
ORD00006218,PROD00006218,USER00006218,"Monday, September 25, 2023",,Home,8.75,5,,Not Returned,,67,Male,City15,Credit Card,Next-Day,7.38,0,43.75,0,60+,Within a Week
ORD00006462,PROD00006462,USER00006462,"Tuesday, December 17, 2024",,Home,74.11,5,,Not Returned,,57,Male,City79,Gift Card,Next-Day,48.93,0,370.55,0,40-59,Within a Week
ORD00007009,PROD00007009,USER00007009,"Saturday, January 20, 2024",,Home,295.19,5,,Not Returned,,67,Female,City64,Gift Card,Next-Day,14.1,0,1475.95,0,60+,Within a Week
ORD00007045,PROD00007045,USER00007045,"Wednesday, September 27, 2023",,Home,147.65,5,,Not Returned,,29,Male,City61,Debit Card,Next-Day,17.21,0,738.25,0,25-39,Within a Week
ORD00007116,PROD00007116,USER00007116,"Saturday, October 19, 2024",,Home,417.73,5,,Not Returned,,54,Female,City63,Credit Card,Next-Day,26.25,0,2088.65,0,40-59,Within a Week
ORD00007332,PROD00007332,USER00007332,"Sunday, December 17, 2023",,Home,406.52,5,,Not Returned,,63,Female,City64,PayPal,Next-Day,38.72,0,2032.6,0,60+,Within a Week
ORD00007388,PROD00007388,USER00007388,"Sunday, December 31, 2023",,Home,57.69,5,,Not Returned,,42,Male,City62,Debit Card,Next-Day,10.85,0,288.45,0,40-59,Within a Week
ORD00007533,PROD00007533,USER00007533,"Saturday, July 27, 2024",,Home,448.7,5,,Not Returned,,51,Male,City5,PayPal,Next-Day,42.04,0,2243.5,0,40-59,Within a Week
ORD00007613,PROD00007613,USER00007613,"Monday, December 11, 2023",,Home,367.32,5,,Not Returned,,22,Female,City31,PayPal,Next-Day,19.81,0,1836.6,0,Under 25,Within a Week
ORD00007614,PROD00007614,USER00007614,"Friday, February 2, 2024",,Home,170.81,5,,Not Returned,,58,Male,City65,Credit Card,Next-Day,23.98,0,854.05,0,40-59,Within a Week
ORD00007760,PROD00007760,USER00007760,"Thursday, February 23, 2023",,Home,228.33,5,,Not Returned,,70,Male,City12,Credit Card,Next-Day,26.34,0,1141.65,0,60+,Within a Week
ORD00008011,PROD00008011,USER00008011,"Wednesday, September 4, 2024",,Home,198.08,5,,Not Returned,,33,Male,City12,Credit Card,Next-Day,46.89,0,990.4,0,25-39,Within a Week
ORD00008018,PROD00008018,USER00008018,"Thursday, November 30, 2023",,Home,443.76,5,,Not Returned,,37,Male,City66,Debit Card,Next-Day,20.51,0,2218.8,0,25-39,Within a Week
ORD00008210,PROD00008210,USER00008210,"Tuesday, January 10, 2023",,Home,371.65,5,,Not Returned,,52,Female,City48,Credit Card,Next-Day,48.16,0,1858.25,0,40-59,Within a Week
ORD00008228,PROD00008228,USER00008228,"Saturday, July 8, 2023",,Home,379.21,5,,Not Returned,,51,Female,City45,Gift Card,Next-Day,16.07,0,1896.05,0,40-59,Within a Week
ORD00008400,PROD00008400,USER00008400,"Monday, July 8, 2024",,Home,280.76,5,,Not Returned,,42,Male,City60,Debit Card,Next-Day,9.48,0,1403.8,0,40-59,Within a Week
ORD00008568,PROD00008568,USER00008568,"Tuesday, October 3, 2023",,Home,429.26,5,,Not Returned,,54,Female,City90,Credit Card,Next-Day,32.91,0,2146.3,0,40-59,Within a Week
ORD00008736,PROD00008736,USER00008736,"Tuesday, September 12, 2023",,Home,435.07,5,,Not Returned,,43,Male,City10,Credit Card,Next-Day,30.06,0,2175.35,0,40-59,Within a Week
